model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"95, 98, 99, 89, 99","99, 99, 99, 99, 99",0.51965,,0.51965,,0.5214275214949161,,0.5214275214949161,,0.51965,,0.5196500000000001,,0.51965,,0.51965,0.007717476559371221,0.5161181961403536,0.00914187563643499,0.5161181961403534,0.009141875636434994,0.5119166666666667,0.008841191473249885,0.5081828560035558,0.006459540517948969,0.5082385765326751,0.007428177106751688,0.5220740740740741,0.00222610578862898,0.51882829011488,0.003368098309918566,0.5187687179188039,0.0033931931554579816,1.3595298061345489,0.015813057344776556,1.3756928857167563,0.013021982230386293,1.3518383192486234,0.007306384001413139,1004.0527854919434,,17.120161056518555,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"99, 98, 83, 91, 93","99, 99, 99, 99, 99",0.6217499999999999,,0.6217499999999999,,0.6246232440954216,,0.6246232440954216,,0.6217499999999999,,0.6217499999999999,,0.6217499999999999,,0.6217499999999999,0.01372558438343034,0.6194166072565525,0.014039141577270845,0.6194166072565523,0.014039141577270965,0.595125,0.012168236200132824,0.5917558834134058,0.012682448543158696,0.5923654139546299,0.012230951739364247,0.6327268518518518,0.005669801390279269,0.6307031008642137,0.0058491901480528085,0.630605078347493,0.005871891639205103,1.0656492883854722,0.03811219569672263,1.1499656651814778,0.02002077386884306,1.0349225499365065,0.013198533606862005,1285.7390471935273,,7.599638223648071,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"84, 98, 82, 76, 82","99, 99, 99, 99, 99",0.6638666666666666,,0.6638666666666666,,0.6674943863367258,,0.6674943863367258,,0.6638666666666666,,0.6638666666666666,,0.6638666666666666,,0.6638666666666666,0.029402314723693288,0.6624894782518207,0.029882319456961293,0.6624894782518208,0.029882319456961338,0.6078333333333333,0.0045882549333415585,0.6053329179191819,0.0030879230054828375,0.6060549930182334,0.003623436384126035,0.6869953703703704,0.00668405974419162,0.6859410485859074,0.007500152731467787,0.6858046341945422,0.007519896728905901,0.9535057043141506,0.09060187876736231,1.1322101074854531,0.021161228237057936,0.8859580479198031,0.01643431774063437,1567.1547245025636,,7.909796953201294,
GAT,4,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"54, 39, 56, 44, 52","99, 99, 99, 99, 99",0.6528500000000002,,0.6528500000000002,,0.6593337313148135,,0.6593337313148137,,0.6528500000000002,,0.6528500000000002,,0.6528500000000002,,0.6528500000000002,0.02968549964020968,0.651301144327211,0.0299053775716911,0.651301144327211,0.02990537757169113,0.5980416666666667,0.012378997670786332,0.5965668827176652,0.012059503503643623,0.5968334906302518,0.01236379559087143,0.674699074074074,0.015710257793283115,0.673436251215118,0.01565262904355225,0.6733519706885526,0.015608718046460664,0.9891879806493191,0.0931436385218627,1.1538540186882018,0.021539990770574266,0.9211317585309345,0.0429086834759443,1842.2307945251464,,7.670920133590698,
GAT,5,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"30, 34, 29, 51, 40","99, 99, 99, 99, 99",0.6455,,0.6455,,0.6496917689420657,,0.6496917689420656,,0.6455,,0.6455,,0.6455,,0.6455,0.032179703748377385,0.6447411328585047,0.03165341224520821,0.6447411328585047,0.03165341224520822,0.5900416666666667,0.010299676370320227,0.5896865214512346,0.008866368313147669,0.5891065610954606,0.010129911948448905,0.6709120370370371,0.020750166302405917,0.6702128485433659,0.020971000104042375,0.6702227006690344,0.020884605105828073,1.0043337943072015,0.10172875419201236,1.1727905171712238,0.028913154882215943,0.9301700799376876,0.05931418018955982,2114.681103658676,,7.838356256484985,
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"43, 37, 53, 75, 56","44, 43, 53, 81, 58",0.49155,,0.49155,,0.49835327040412736,,0.49835327040412747,,0.49155,,0.49155,,0.49155,,0.49155,0.014084132127247963,0.4874697465620102,0.015472313090403422,0.4874697465620102,0.01547231309040344,0.48149999999999993,0.015591018604026818,0.47748968989598656,0.01695252084467731,0.47764269269596016,0.016802209320935922,0.49117129629629624,0.013890344059571695,0.48736697332231343,0.014628427386953793,0.4873132361061307,0.014651750832787934,1.4387488021495494,0.03966850992865344,1.4544421796798706,0.043882437525635073,1.4373589772295068,0.04172275661557272,609.09959025383,,7.637032747268677,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"87, 55, 40, 44, 47","93, 61, 46, 50, 53",0.5998666666666665,,0.5998666666666665,,0.6016108391786423,,0.6016108391786423,,0.5998666666666665,,0.5998666666666665,,0.5998666666666665,,0.5998666666666665,0.022080823756775433,0.596445041445647,0.024213489925972755,0.596445041445647,0.024213489925972755,0.58025,0.009995137706794116,0.5768972316102949,0.011520879368786348,0.5769371739868658,0.011358240055592161,0.6081898148148148,0.01868185146269166,0.6054417892173005,0.020187995276145884,0.605361052526001,0.020216225107344134,1.12741782639889,0.0628831037101821,1.18219952694575,0.025536905532603467,1.1076967230549566,0.0488777043901733,830.7145067691803,,8.057437181472778,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"55, 57, 58, 39, 60","61, 59, 64, 41, 66",0.6326333333333334,,0.6326333333333334,,0.6388251742442904,,0.6388251742442902,,0.6326333333333334,,0.6326333333333334,,0.6326333333333334,,0.6326333333333334,0.02332050838020284,0.6306802744723246,0.022595392509415453,0.6306802744723246,0.022595392509415387,0.5981666666666667,0.011304958351685055,0.5957912111417756,0.011507363731534373,0.5957024138500918,0.011641975500159218,0.6461342592592593,0.018148177673823318,0.6443836719416567,0.01852580333528294,0.6443165927121017,0.01853157140008752,1.042770783698305,0.06799410698086397,1.1542737701733905,0.03368438805187988,1.0007866285818594,0.050871399251710206,951.9779214382172,,8.113469123840332,
GAT,4,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"24, 57, 36, 40, 45","30, 63, 42, 46, 51",0.6230166666666668,,0.6230166666666668,,0.6249780077291684,,0.6249780077291684,,0.6230166666666668,,0.6230166666666668,,0.6230166666666668,,0.6230166666666668,0.015280652254839593,0.6201459872709261,0.015268159276250621,0.6201459872709261,0.015268159276250599,0.5850833333333334,0.008308922580241363,0.5818745836368382,0.008762394172389972,0.5822868224024417,0.009056026541661865,0.639263888888889,0.015659453783524936,0.6366804264123607,0.01633125828882025,0.6365725434967698,0.016383829864157002,1.064060337112305,0.04314038921170255,1.1794299767812093,0.021190100579684523,1.018272525469462,0.04159948865272093,877.249454832077,,8.714315176010132,
GAT,5,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"32, 31, 31, 28, 38","38, 37, 37, 34, 44",0.6238833333333333,,0.6238833333333333,,0.6264448825922821,,0.626444882592282,,0.6238833333333333,,0.6238833333333333,,0.6238833333333333,,0.6238833333333333,0.02497757883471581,0.6220377917540545,0.024491995317983312,0.6220377917540546,0.024491995317983305,0.5852083333333333,0.004615418002016009,0.5817228691129565,0.004391438787590481,0.5829999412342918,0.0034274863640569747,0.64225,0.016001458749088045,0.6408936809311813,0.0153142542581859,0.640693710951856,0.015395723316198878,1.0696715257903364,0.06804458619049467,1.18276757923762,0.017751539799987354,1.0126989126735264,0.04621903598763585,823.6501337528229,,7.6445629596710205,
