model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GAT,1,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"97, 96, 96, 96, 90","99, 99, 99, 99, 99",0.8217142857142857,,0.8217142857142857,,0.8239900458249336,,0.8239900458249337,,0.8217142857142857,,0.8217142857142857,,0.8217142857142857,,0.8217142857142857,0.004883750649671136,0.8207744472320405,0.0043239427125549386,0.8207744472320405,0.004323942712554952,0.8216785714285715,0.008850083592364368,0.8202807885755746,0.008747517603756496,0.8202807885755744,0.008747517603756512,0.83159126984127,0.004080947441854587,0.830654596215793,0.004262025341486338,0.830654596215793,0.00426202534148634,0.4901752124230067,0.007955769007556497,0.48659380295059895,0.015521099839055492,0.4634968855772829,0.008862725136337117,1046.76052236557,,12.466933250427246,
GAT,2,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"59, 51, 63, 40, 35","99, 99, 99, 99, 99",0.8620428571428572,,0.8620428571428572,,0.8640238847260523,,0.8640238847260523,,0.8620428571428572,,0.8620428571428571,,0.8620428571428572,,0.8620428571428572,0.002748134803454804,0.8616861501246958,0.0027006944308834912,0.8616861501246957,0.0027006944308834587,0.8590357142857143,0.004949489769621895,0.8584934594360535,0.00493432365705947,0.8584934594360533,0.004934323657059514,0.8952936507936506,0.008790631107223787,0.8950922291266368,0.008546111253803374,0.895092229126637,0.008546111253803368,0.38130313183210757,0.003893947051940742,0.38797870312224736,0.007487374894661648,0.28405852396097886,0.023671781678342576,1356.3222293376923,,8.37911081314087,
GAT,3,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"24, 24, 29, 30, 34","99, 99, 99, 99, 99",0.8605285714285715,,0.8605285714285715,,0.8602354324367514,,0.8602354324367514,,0.8605285714285715,,0.8605285714285715,,0.8605285714285715,,0.8605285714285715,0.003958870174838367,0.8597387615047822,0.0036469506713455854,0.8597387615047822,0.0036469506713455004,0.8595,0.005221374828724773,0.8586354758258178,0.004679132618148088,0.8586354758258177,0.004679132618148184,0.8934087301587302,0.003870734268100906,0.8928492375411003,0.004103443544018187,0.8928492375411003,0.0041034435440182055,0.38434149661020606,0.00840733473133961,0.3871594182469628,0.012884881087659469,0.28731427004154264,0.009864932138059427,1660.5720916748046,,8.232829809188843,
GAT,4,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"33, 28, 24, 29, 29","99, 99, 99, 99, 99",0.8583714285714287,,0.8583714285714287,,0.8604109161096039,,0.8604109161096037,,0.8583714285714287,,0.8583714285714287,,0.8583714285714287,,0.8583714285714287,0.0019364389787357664,0.8583724113800375,0.0022182609763340866,0.8583724113800375,0.0022182609763341243,0.8611071428571428,0.0028333833528997785,0.8609761890467162,0.00263141015603945,0.860976189046716,0.002631410156039475,0.8966626984126984,0.007136288867168042,0.8966079210671225,0.00710563771102711,0.8966079210671225,0.007105637711027038,0.38329527429794064,0.006549105207488963,0.3834282259372147,0.009531368927929211,0.2764808945830552,0.01596867818756915,1969.5585127830504,,8.2957284450531,
GAT,5,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"25, 30, 28, 36, 25","99, 99, 99, 99, 99",0.8600428571428573,,0.8600428571428573,,0.8611629610294493,,0.8611629610294493,,0.8600428571428573,,0.8600428571428573,,0.8600428571428573,,0.8600428571428573,0.0037111525246511386,0.8599624762147654,0.003553981919386616,0.8599624762147654,0.0035539819193865694,0.8566785714285714,0.00614306478054392,0.8565151547258557,0.005468953037352627,0.8565151547258558,0.005468953037352637,0.8940833333333333,0.006892348812939842,0.8939993680759762,0.006567005301685638,0.8939993680759762,0.006567005301685582,0.38012102199335623,0.005890956423655958,0.3851562477648258,0.010301489984109066,0.28229596699554904,0.01870155647756016,2358.020666360855,,8.215209007263184,
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"93, 85, 98, 95, 92","99, 99, 99, 99, 99",0.7938428571428571,,0.7938428571428571,,0.7933415575863935,,0.7933415575863936,,0.7938428571428571,,0.7938428571428571,,0.7938428571428571,,0.7938428571428571,0.01500880013967317,0.7918971447146669,0.014493577353193461,0.7918971447146669,0.014493577353193454,0.7946785714285715,0.014578867148957047,0.7927302375032438,0.014090436301450307,0.792730237503244,0.014090436301450182,0.7997936507936508,0.012399276732618833,0.7980516855227375,0.01215750425866079,0.7980516855227375,0.012157504258660912,0.5601702404348818,0.03700204402658484,0.5607572599568151,0.036836644173714135,0.545753615697477,0.03102955736883744,1011.1798112392426,,8.245798826217651,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"98, 99, 95, 83, 78","99, 99, 99, 99, 99",0.8581285714285715,,0.8581285714285715,,0.8580916761935724,,0.8580916761935724,,0.8581285714285715,,0.8581285714285715,,0.8581285714285715,,0.8581285714285715,0.0025548673035552163,0.8571734657722999,0.0028494285081440878,0.8571734657722999,0.002849428508144067,0.8549285714285715,0.003370414496401157,0.853733128061289,0.003058100311093729,0.853733128061289,0.0030581003110937417,0.8799007936507935,0.002412881154315872,0.8790334811340763,0.0024618938672725265,0.8790334811340765,0.002461893867272623,0.3895821271149535,0.009891869707497197,0.3933079614558003,0.008595978571070997,0.32488945069235897,0.007027055464658442,1228.267195034027,,8.196407556533813,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"39, 51, 47, 73, 51","99, 99, 99, 99, 99",0.8591857142857144,,0.8591857142857144,,0.8585896293256227,,0.8585896293256227,,0.8591857142857144,,0.8591857142857144,,0.8591857142857144,,0.8591857142857144,0.0037687219725156705,0.8575097246827316,0.0035696392918794944,0.8575097246827313,0.003569639291879498,0.8587857142857143,0.0038917101849013963,0.8570137286350175,0.003614497531170397,0.8570137286350175,0.0036144975311704543,0.8893809523809523,0.005352031659317618,0.8880933189655253,0.005762276319399804,0.8880933189655253,0.00576227631939985,0.3880544349415117,0.007249682398223678,0.385261166265065,0.009776833657273717,0.29966213385465784,0.01491561833599728,1460.555830860138,,8.313265562057495,
GAT,4,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"40, 44, 51, 50, 45","99, 99, 99, 99, 99",0.8598142857142858,,0.8598142857142858,,0.8600427031249411,,0.8600427031249411,,0.8598142857142858,,0.8598142857142855,,0.8598142857142858,,0.8598142857142858,0.0022157138251818146,0.8590119040359527,0.002101127550073928,0.8590119040359527,0.002101127550073783,0.8593214285714286,0.003545261281065191,0.8584491094405383,0.00378380068556144,0.8584491094405381,0.0037838006855614075,0.8891984126984127,0.004346979067044427,0.8885294718540997,0.004884574753430081,0.8885294718540997,0.004884574753430059,0.3868812826806552,0.005962523679419334,0.3858003710819916,0.01089538004506992,0.29659982191843126,0.011682474916330902,1668.844432401657,,8.256789207458496,
GAT,5,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"59, 51, 38, 35, 60","99, 99, 99, 99, 99",0.8579714285714285,,0.8579714285714285,,0.857396150592401,,0.857396150592401,,0.8579714285714285,,0.8579714285714285,,0.8579714285714285,,0.8579714285714285,0.004340036678110798,0.8570039933225282,0.003727527543272641,0.8570039933225282,0.0037275275432725637,0.858642857142857,0.005239907695089797,0.8575474648114796,0.004543730879153269,0.8575474648114794,0.004543730879153259,0.8930317460317461,0.009685104071031828,0.8921438495596361,0.009695545557249214,0.8921438495596362,0.00969554555724934,0.389870163009047,0.009503062696973695,0.38620160465890707,0.006326322521494024,0.2860722785314479,0.025660079269215604,1885.807262134552,,8.16407585144043,
