model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"98, 97, 98, 99, 97","99, 99, 99, 99, 99",0.4123166666666666,,0.4123166666666666,,0.40917404117602435,,0.40917404117602435,,0.4123166666666666,,0.4123166666666666,,0.4123166666666666,,0.4123166666666667,0.008960158728752752,0.40676292727547025,0.007637126689900205,0.40676292727547014,0.007637126689900208,0.40770833333333334,0.00806979106159372,0.40248685983072885,0.005570174988055362,0.40248685983072885,0.005570174988055399,0.4261481481481482,0.005388530915945339,0.42066678258658097,0.004682090166378174,0.42066678258658097,0.004682090166378139,1.6672452497989574,0.01821648565836306,1.6696761576334633,0.020045778927997242,1.6251636020165905,0.01179111903159031,1122.2113522052764,,7.481075286865234,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid,115.7371,0.7399889120790932,608.2808,4.779526269412064,"87, 95, 99, 99, 91","99, 99, 99, 99, 99",0.49990000000000007,,0.49990000000000007,,0.5008830374318025,,0.5008830374318025,,0.49990000000000007,,0.49990000000000007,,0.49990000000000007,,0.49990000000000007,0.005583557209441931,0.4951439806275098,0.0052485661457090235,0.4951439806275098,0.00524856614570908,0.4935833333333333,0.004302776881141854,0.488636110619986,0.004759644057645479,0.48863611061998613,0.004759644057645482,0.5157592592592593,0.006304314747117825,0.5109471253405263,0.006447580729615971,0.5109471253405264,0.00644758072961604,1.4126333447212869,0.013566069985372957,1.4230472504297893,0.006689982681929284,1.3602503074363426,0.015310036960807955,1135.9545950889587,,7.512895107269287,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"95, 91, 96, 92, 96","99, 99, 99, 99, 99",0.5486333333333333,,0.5486333333333333,,0.5509716659919428,,0.5509716659919428,,0.5486333333333333,,0.5486333333333334,,0.5486333333333333,,0.5486333333333333,0.0024813750668172332,0.5448814515382369,0.0032760801148100397,0.5448814515382367,0.0032760801148100896,0.5467500000000001,0.00574879214366908,0.5426754586105911,0.006004933968412837,0.5426754586105911,0.0060049339684128365,0.5702268518518518,0.0025253940055765295,0.5663922967850221,0.002852556246096854,0.5663922967850222,0.0028525562460968634,1.2750679406713932,0.005437611235690467,1.2862271429697674,0.010508073495715333,1.2113459035378915,0.007873423650373726,1151.7167948246001,,7.54737114906311,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid num_pixels std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"99, 97, 96, 99, 99","99, 99, 99, 99, 99",0.5501666666666667,,0.5501666666666667,,0.5508728249353514,,0.5508728249353513,,0.5501666666666667,,0.5501666666666667,,0.5501666666666667,,0.5501666666666667,0.005810909280540063,0.5463452559743232,0.006068363803580212,0.5463452559743229,0.006068363803580221,0.5445833333333333,0.0064442049763937205,0.5404992516253309,0.006786201738011951,0.5404992516253306,0.006786201738011926,0.5736111111111111,0.0052688358297987795,0.5697773839346943,0.005452398799438491,0.5697773839346943,0.00545239879943848,1.2665759046661091,0.017617369344494243,1.2720901123682657,0.013919463947653955,1.199929003874461,0.01351216592721035,1168.675607919693,,7.731497287750244,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"98, 95, 97, 87, 99","99, 99, 99, 99, 99",0.5561333333333333,,0.5561333333333333,,0.5602574335757627,,0.5602574335757627,,0.5561333333333333,,0.5561333333333333,,0.5561333333333333,,0.5561333333333333,0.003058957701934132,0.5518564757068428,0.003867185112095351,0.5518564757068428,0.0038671851120953755,0.5550416666666667,0.006356591067545581,0.5504677460765167,0.008428469250248349,0.5504677460765167,0.008428469250248287,0.5781574074074074,0.0028777012120993137,0.5740193299066964,0.004382615323609007,0.5740193299066964,0.0043826153236089715,1.2552785513882943,0.008025400891992463,1.2594708906809489,0.005946578663360499,1.186149647165228,0.0075158068688240725,1150.8580592632293,,7.795634508132935,
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"96, 98, 97, 88, 97","99, 99, 99, 99, 99",0.5538166666666666,,0.5538166666666666,,0.5540253654462324,,0.5540253654462323,,0.5538166666666666,,0.5538166666666666,,0.5538166666666666,,0.5538166666666666,0.00412357719569902,0.5501170846108613,0.005754730856237268,0.5501170846108614,0.005754730856237241,0.5525,0.004442925087522113,0.5485597281105539,0.006479239678593512,0.5485597281105539,0.006479239678593519,0.5815555555555555,0.005543493850819531,0.5780598697294866,0.006356623011914427,0.5780598697294866,0.006356623011914369,1.251719083304101,0.008596694276333748,1.2655881549517314,0.008789967438514675,1.17654552715796,0.011815056283217575,1153.0474236011505,,7.663545370101929,
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid std_deviation_centroid std_deviation_color std_deviation_color_hsv,115.7371,0.7399889120790932,608.2808,4.779526269412064,"93, 93, 93, 90, 81","99, 99, 99, 99, 99",0.5535833333333333,,0.5535833333333333,,0.5540721741553476,,0.5540721741553475,,0.5535833333333333,,0.5535833333333333,,0.5535833333333333,,0.5535833333333333,0.004756866382165668,0.5485431390012815,0.005315472799679968,0.5485431390012815,0.005315472799679933,0.5560416666666667,0.002112298642606098,0.550785243827481,0.003773179758937062,0.550785243827481,0.0037731797589370757,0.5801898148148148,0.004973381649772493,0.5752265115687399,0.005672803763784578,0.5752265115687399,0.005672803763784582,1.2523882941996798,0.01299911215474854,1.257157496770223,0.010454948229872946,1.1754884721791303,0.012563216164234128,1161.474966287613,,7.528486490249634,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid num_pixels std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"97, 95, 97, 89, 96","99, 99, 99, 99, 99",0.5537333333333333,,0.5537333333333333,,0.5580850860151904,,0.5580850860151904,,0.5537333333333333,,0.5537333333333333,,0.5537333333333333,,0.5537333333333333,0.0019396448701301191,0.5498158531999187,0.0024125489334252156,0.5498158531999187,0.002412548933425318,0.5504166666666667,0.006517870732753824,0.5463445231465879,0.004724170329736332,0.5463445231465878,0.00472417032973638,0.5771759259259259,0.0041518254203407445,0.5734823430597074,0.003929016819670909,0.5734823430597075,0.003929016819670982,1.2586417629997781,0.007657272732167597,1.2661115053494771,0.010641459732172929,1.189477082411448,0.014062402872134326,1142.3905979633332,,16.880712032318115,
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid num_pixels std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"89, 99, 96, 99, 90","99, 99, 99, 99, 99",0.5548500000000001,,0.5548500000000001,,0.5591136495406401,,0.5591136495406401,,0.5548500000000001,,0.5548500000000001,,0.5548500000000001,,0.5548500000000001,0.006309912836165008,0.5519552442848081,0.00807077487117906,0.5519552442848081,0.008070774871178995,0.552625,0.0018938863628939154,0.5494754809785646,0.0037754746629156846,0.5494754809785646,0.0037754746629156464,0.5806388888888889,0.008992971840498874,0.5777753018131742,0.009932536658844986,0.5777753018131742,0.009932536658845033,1.2617589263205833,0.011873501005138273,1.2613316086133322,0.007614309009296457,1.1802744599624915,0.021532081805079723,1161.988335609436,,7.4623801708221436,
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid num_pixels std_deviation_centroid std_deviation_color std_deviation_color_hsv,115.7371,0.7399889120790932,608.2808,4.779526269412064,"91, 97, 82, 98, 99","99, 99, 99, 99, 99",0.5588166666666666,,0.5588166666666666,,0.5597589589495542,,0.5597589589495542,,0.5588166666666666,,0.5588166666666666,,0.5588166666666666,,0.5588166666666666,0.005506914845093489,0.5542710323735909,0.006937363508608632,0.5542710323735909,0.0069373635086086355,0.5585416666666666,0.0018911342863183987,0.5541319167805825,0.003332276689925194,0.5541319167805826,0.0033322766899252045,0.5851574074074074,0.0052715891266712864,0.580916115059495,0.0061348770468253825,0.5809161150594951,0.006134877046825329,1.2452937780542577,0.011092883514512571,1.2532827920913694,0.007017123143428756,1.1672416343335752,0.010712909675872262,1157.0874746799468,,7.487916469573975,
