model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"66, 73, 50, 45, 91","68, 79, 56, 51, 95",0.26864999999999994,,0.26864999999999994,,0.27028109264881933,,0.27028109264881933,,0.26864999999999994,,0.26864999999999994,,0.26864999999999994,,0.26864999999999994,0.009434776096972316,0.2544409250731488,0.009618236924922103,0.25444092507314886,0.009618236924922122,0.26566666666666666,0.009406336516767127,0.25027374869181446,0.00882856168354137,0.2502737486918144,0.008828561683541382,0.2944398148148148,0.010510762251799564,0.28066300902085484,0.010059595724588298,0.28066300902085484,0.01005959572458828,3.0035595546377465,0.0425168600933049,2.9928780307769776,0.06207176267451455,2.841687119519269,0.060849634358450026,853.4430506229401,,7.763844728469849,
GCN,3,-,,75,-,1NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,231.09588,2.4348648885718487,"72, 65, 94, 88, 77","78, 71, 99, 89, 78",0.28855,,0.28855,,0.2952942998841054,,0.2952942998841054,,0.28855,,0.28855,,0.28855,,0.28855,0.010002305289837499,0.2754074112747565,0.010651007647035637,0.2754074112747565,0.010651007647035653,0.2856666666666666,0.009630680142129106,0.2723127104742415,0.009764078520812396,0.2723127104742415,0.00976407852081239,0.3220925925925926,0.012861496074552139,0.30951815278035794,0.013856034655392955,0.30951815278035794,0.013856034655392936,2.8999447799743487,0.04224674207182388,2.882899159113566,0.03906660031872236,2.7151602469550236,0.06329748081666098,961.2252731323242,,12.214359998703003,
GCN,3,-,,75,-,2NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,462.19176,4.869729777143697,"71, 81, 70, 58, 82","77, 87, 75, 64, 88",0.27488333333333337,,0.27488333333333337,,0.27615605621572753,,0.27615605621572753,,0.27488333333333337,,0.27488333333333337,,0.27488333333333337,,0.27488333333333337,0.0047506139954045295,0.2615411113879971,0.00599895233556752,0.2615411113879971,0.0059989523355675044,0.2737916666666667,0.004416273567412037,0.25907110798580757,0.0059094153863896255,0.25907110798580757,0.0059094153863896255,0.2999074074074074,0.005448761358596611,0.28620663279058506,0.0066464887133872545,0.2862066327905851,0.0066464887133872415,2.955750834941864,0.022818893228895576,2.9421339747111004,0.023016066218104213,2.813465688634802,0.03179830678919937,942.3250308513641,,13.200892448425293,
GCN,3,-,,75,-,4NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,924.38352,9.739459554287395,"79, 62, 66, 84, 94","85, 62, 72, 90, 99",0.27026666666666666,,0.27026666666666666,,0.27672756184299885,,0.27672756184299885,,0.27026666666666666,,0.27026666666666666,,0.27026666666666666,,0.27026666666666666,0.009535518397607506,0.2562805800885859,0.010146852656003583,0.2562805800885858,0.010146852656003577,0.2713333333333333,0.007589283380018317,0.25736562057517126,0.008525882895498828,0.2573656205751712,0.008525882895498825,0.29581481481481486,0.011825304831679389,0.2823423204314753,0.01286296683640606,0.2823423204314753,0.012862966836406076,2.9864012203318007,0.04642207623422727,2.9763214543660483,0.04445328416354578,2.832886357413398,0.05652664758686431,1045.0947926998138,,16.410719394683838,
GCN,3,-,,75,-,8NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,1848.76704,19.47891910857479,"98, 77, 95, 51, 82","99, 77, 99, 53, 88",0.25043333333333334,,0.25043333333333334,,0.2537596336624533,,0.25375963366245335,,0.25043333333333334,,0.25043333333333334,,0.25043333333333334,,0.25043333333333334,0.006996110030263647,0.23622169237587745,0.008206901617931318,0.23622169237587745,0.008206901617931302,0.25212500000000004,0.0075604048980343775,0.23765424562194465,0.009053726029560932,0.23765424562194468,0.00905372602956096,0.2729537037037037,0.009634932211711692,0.2591927573897646,0.011575654090277014,0.2591927573897646,0.011575654090277014,3.092600181762208,0.03649459307748811,3.0804246431986493,0.04592076250642133,2.95168037336844,0.05760249036500178,1210.6455770969392,,23.6879665851593,
GCN,3,-,,75,-,16NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,3697.53408,38.95783821714958,"63, 67, 81, 56, 98","69, 67, 87, 62, 99",0.2113,,0.2113,,0.21227581519304098,,0.21227581519304098,,0.2113,,0.21129999999999996,,0.2113,,0.2113,0.00891746102380668,0.19462894023878888,0.0112350654558628,0.19462894023878885,0.01123506545586279,0.21329166666666666,0.006935216090521057,0.19527515050250183,0.00912685965731196,0.19527515050250183,0.009126859657311965,0.2283425925925926,0.010445480724136112,0.21173086189535106,0.012480236485973534,0.21173086189535106,0.012480236485973531,3.302476832968123,0.03550912531703615,3.2962490406036373,0.04129030798864945,3.193810120335332,0.05254096430668847,1362.106483411789,,33.957799434661865,
GCN,3,-,,75,-,1NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,231.09588,2.4348648885718487,"63, 60, 68, 57, 89","69, 60, 74, 62, 95",0.3001333333333333,,0.3001333333333333,,0.30669997867085774,,0.30669997867085774,,0.3001333333333333,,0.3001333333333333,,0.3001333333333333,,0.3001333333333333,0.00555242689681227,0.287077514835032,0.006171639580012984,0.2870775148350321,0.006171639580013001,0.2991666666666667,0.005781015385629836,0.28663740412801375,0.007182034973881878,0.28663740412801375,0.007182034973881882,0.33858333333333335,0.010503612449324108,0.32605221831559744,0.012530404482707216,0.32605221831559744,0.012530404482707227,2.8212444419556477,0.021682315088227398,2.805242280960083,0.029681719605588346,2.617514431882788,0.04568777024120203,897.7844966411591,,19.649784088134766,
GCN,3,-,,75,-,2NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,462.19176,4.869729777143697,"79, 79, 95, 76, 62","85, 85, 95, 82, 68",0.29523333333333335,,0.29523333333333335,,0.29560511143686696,,0.295605111436867,,0.29523333333333335,,0.29523333333333335,,0.29523333333333335,,0.29523333333333335,0.006224369669113308,0.28009402288330043,0.004582499841402487,0.28009402288330043,0.004582499841402461,0.29641666666666666,0.005294126724756209,0.28217184754505,0.006300470825258929,0.28217184754505,0.006300470825258913,0.32959722222222226,0.006270826070159732,0.31527528740287936,0.004772642489672071,0.31527528740287936,0.004772642489672067,2.850030808753156,0.02715946369299677,2.835363080342611,0.028057811122024722,2.66531343015035,0.03202551378538119,994.6626722335816,,14.273289442062378,
GCN,3,-,,75,-,4NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,924.38352,9.739459554287395,"95, 62, 83, 95, 61","99, 68, 83, 99, 67",0.28741666666666665,,0.28741666666666665,,0.29061101044492277,,0.29061101044492277,,0.28741666666666665,,0.28741666666666665,,0.28741666666666665,,0.28741666666666665,0.012595854697302424,0.2725059924120881,0.01298103174927401,0.27250599241208817,0.012981031749274001,0.28991666666666666,0.014936555641929125,0.2730030138723583,0.014113094606249715,0.2730030138723583,0.014113094606249706,0.32033796296296296,0.014280952414032181,0.3053026647197449,0.015337495333429535,0.3053026647197449,0.015337495333429565,2.8927241223923703,0.04918433287543265,2.87090577061971,0.0551742164382866,2.7087828680321024,0.07160399708081161,1056.667160654068,,17.015966415405273,
GCN,3,-,,75,-,8NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.54794,1.2174324442859243,1848.76704,19.47891910857479,"63, 40, 61, 96, 87","69, 46, 67, 99, 92",0.2649666666666667,,0.2649666666666667,,0.2668251584481978,,0.2668251584481978,,0.2649666666666667,,0.2649666666666667,,0.2649666666666667,,0.2649666666666667,0.006990390229132833,0.25020836460200674,0.008820913707360123,0.2502083646020067,0.008820913707360134,0.2620416666666667,0.00695646182416831,0.24708409433284154,0.008945408765531085,0.24708409433284148,0.008945408765531035,0.2909398148148148,0.011295334279011962,0.27669939142059585,0.01349127125443375,0.27669939142059585,0.013491271254433754,3.0174945988553636,0.039038743181317295,3.0004747098286946,0.044372247788554794,2.8691870717649106,0.05961811184765204,1075.9634833812713,,21.496257305145264,
