model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"56, 52, 61, 62, 42","62, 53, 67, 68, 48",0.8897999999999999,,0.8906317227306932,,0.8915707005034081,,0.8923879053432403,,0.8914053149876761,,0.8897979247464438,,0.8914053149876761,,0.8910181214221795,0.008991644911309087,0.8898921453303151,0.009082420310412936,0.8911133096660377,0.008872902602512557,0.8902768258284736,0.009768651598403887,0.8891173967220839,0.00992183268484709,0.8902851270513473,0.009752519575208077,0.8947156969830473,0.008762708775932552,0.8936511745309644,0.008854950554237994,0.8948148334053204,0.00870075786377895,0.3474633933746651,0.028688892946221664,0.35201987817206165,0.02782339849648016,0.3345492301896441,0.024701477695825154,770.914592885971,,10.828441619873047,
GCN,3,-,,75,-,1NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,161.46246666666667,1.248141785037083,"84, 60, 65, 69, 52","90, 66, 71, 75, 58",0.8631571428571428,,0.8644107958078717,,0.8649034313085725,,0.8661347602826603,,0.8648476960689255,,0.8631562607181088,,0.8648476960689255,,0.8646290674293077,0.009784196334523099,0.8633180210778126,0.009934472622750469,0.864779767011728,0.009837946136096483,0.8660502357256853,0.0038440758218211742,0.8646267010230508,0.004266906008888569,0.8660496907552518,0.0042261267353248195,0.8767635019515441,0.009274248092748117,0.8754976799778709,0.009570425761543263,0.8768445700070331,0.009456352699651258,0.41331776236970674,0.02623322961697525,0.4121291123330593,0.01821621927871233,0.38109840459478683,0.02859782687747886,882.8632297992706,,10.915581464767456,
GCN,3,-,,75,-,2NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,322.92493333333334,2.496283570074166,"57, 69, 47, 99, 63","63, 75, 47, 99, 69",0.8617142857142858,,0.8631446540332423,,0.863965240899135,,0.8653895236646904,,0.8636589971015838,,0.8617147550222131,,0.8636589971015838,,0.8634014340887994,0.013218268262168308,0.8617234402761461,0.013603187003404321,0.86341339140001,0.013523345560384863,0.8616015273373241,0.01529258791522276,0.8596596437457539,0.016017667922350154,0.8613998119559205,0.015853134112814953,0.8717864264075038,0.013941516451927765,0.8702369489427912,0.014508406891798378,0.871796051783079,0.014348212872848203,0.42250250488111424,0.042509282365013716,0.42436365722255276,0.03665411884976737,0.3953240664023433,0.040731616447319985,879.0586152076721,,11.530107736587524,
GCN,3,-,,75,-,4NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,645.8498666666667,4.992567140148332,"56, 78, 54, 67, 60","62, 84, 60, 68, 66",0.8805857142857143,,0.8819105432489307,,0.8824449729840763,,0.8837109556662558,,0.8822722608248753,,0.8805842447323409,,0.8822722608248753,,0.8820912812519974,0.011313783063945851,0.8804478928374969,0.011474954505205472,0.8819560766590119,0.011346817057168359,0.8812253085654879,0.01048543052289863,0.8796304740445757,0.010600158368356363,0.8811043323746175,0.010449347312927177,0.8863718633685383,0.013726824789455467,0.884768490851846,0.013953768686741598,0.8862298843693794,0.013788427330199554,0.37359446230000015,0.03768726414475387,0.3722652359103614,0.03711557060047964,0.35583435944683356,0.041422111132722705,906.092535686493,,16.74955415725708,
GCN,3,-,,75,-,8NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,1291.6997333333334,9.985134280296664,"56, 61, 56, 47, 87","62, 67, 62, 53, 93",0.8652285714285715,,0.8666337061700782,,0.8671227102769207,,0.8684816853756014,,0.867238105003578,,0.8652301430483476,,0.867238105003578,,0.8669354457881433,0.012636166017670671,0.8649072613624179,0.01309168670410362,0.866603692837093,0.01294886927010924,0.8670637291690252,0.014328488302733516,0.8650187044971815,0.014722254030444873,0.8666726675862012,0.01455040448472848,0.8724883330007878,0.014863751547092241,0.8704868786798471,0.015481603470186931,0.8721245300102207,0.015276213769911699,0.4157933769160754,0.03944681951137234,0.42010607841339975,0.04623198029570034,0.40150029925525493,0.048740280427835,971.9811123847961,,18.872726678848267,
GCN,3,-,,75,-,16NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,2583.3994666666667,19.97026856059333,"73, 51, 97, 79, 90","79, 57, 99, 85, 95",0.7919428571428571,,0.7946712769545582,,0.7947156608676077,,0.7974438353893343,,0.7958345125134398,,0.7919437648299161,,0.7958345125134398,,0.7952522549616444,0.023498068263783832,0.7908064103834734,0.025096936092707425,0.7941730977277646,0.02465288894422385,0.7911810961392634,0.02796753277946365,0.7865849221726922,0.029687366255282663,0.7900800470265434,0.02931185317768298,0.7981795749569905,0.024276660369750153,0.7938204389141561,0.02578201133915102,0.7971899166511356,0.025386990159011906,0.6332403693569305,0.06864370744842133,0.6375479209829461,0.07283760185048022,0.6227870664696402,0.06582216185369848,1405.2972535133363,,28.301183700561523,
GCN,3,-,,75,-,1NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,161.46246666666667,1.248141785037083,"44, 80, 36, 64, 47","50, 86, 42, 70, 53",0.853057142857143,,0.8547226872547092,,0.8544703936115233,,0.8561027031948679,,0.8549130671268363,,0.8530584751125521,,0.8549130671268363,,0.8548178095469673,0.015821044120830054,0.8530004885491284,0.016039743262232356,0.8547576650375746,0.015922849494833986,0.8581594682846392,0.013659595766685843,0.8563971577894218,0.013905070321710847,0.8581188989238786,0.0137629061693652,0.8636430875082339,0.016624929602463596,0.8619233785412929,0.016840453584621957,0.8635993243024457,0.01668428335791401,0.45476294996803757,0.046886103829184185,0.44690601683475756,0.04093353569071863,0.43145345350925995,0.04732875922284188,738.8905219554902,,10.854175567626953,
GCN,3,-,,75,-,2NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,322.92493333333334,2.496283570074166,"44, 64, 41, 48, 41","44, 70, 43, 54, 47",0.8423285714285715,,0.8443123113435647,,0.8459382995369932,,0.8477961112989323,,0.8445545633692071,,0.8423276670536796,,0.8445545633692071,,0.8444330227236007,0.015864910881315756,0.8419325584486756,0.01573503853147841,0.84402896777566,0.015577314181097061,0.8433788292919224,0.013454196913162839,0.841030538032365,0.013598416886467568,0.8430546485560855,0.013347473604876356,0.8476072077836445,0.01475498987447643,0.8452064212482199,0.01471295865471803,0.8472733478015388,0.014539771360699595,0.4929747875830898,0.048231809718195406,0.4978074060244994,0.04162235714346859,0.4791707902825272,0.04523414527220388,639.8800410270691,,11.757120370864868,
GCN,3,-,,75,-,4NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,645.8498666666667,4.992567140148332,"34, 39, 47, 48, 45","34, 45, 53, 54, 51",0.8245571428571429,,0.8262829508166467,,0.829641456053249,,0.8313229118380562,,0.8268086910991969,,0.8245586658498102,,0.8268086910991969,,0.8265453445601174,0.010866511315495181,0.8248577503580383,0.01073881961895605,0.8268271414873432,0.0104807666275731,0.8253850917571108,0.008311598772673895,0.823676296273533,0.008023867922868478,0.8256320656023519,0.00786095346052967,0.831026595417949,0.012905442566659018,0.8293293949646066,0.012869649901667559,0.8312645569704756,0.012641964200467962,0.5399617890380833,0.03089249376414532,0.5450294710695743,0.02815662100440453,0.5278477645843163,0.03433901707853698,630.4391075134278,,14.712085723876953,
GCN,3,-,,75,-,8NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,1291.6997333333334,9.985134280296664,"48, 22, 51, 45, 37","54, 28, 57, 51, 43",0.8050857142857144,,0.8066611048319776,,0.8084603899725753,,0.8099445686663668,,0.808316713926011,,0.8050893878697647,,0.808316713926011,,0.8074879655241766,0.019303733316512847,0.8036345362215407,0.019837652059605977,0.8060715103223876,0.019321755829644193,0.8073756469233428,0.018385963312485938,0.8035105655209487,0.018879158539623398,0.8059318185160306,0.01853020695782146,0.8092669901598176,0.017069043715740292,0.8053594936222425,0.01754824652802297,0.8077986509624093,0.01712465574212994,0.6130305098888537,0.061907021909190944,0.6153454068709504,0.062395481884138786,0.6070596545178274,0.05296092696414269,674.8087484836578,,20.471930027008057,
