model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"99, 94, 96, 97, 93","99, 99, 99, 99, 99",0.6190714285714286,,0.6190714285714286,,0.6246649605646147,,0.6246649605646147,,0.6190714285714286,,0.6190714285714286,,0.6190714285714286,,0.6190714285714286,0.007406974099193406,0.6169836506606077,0.006731347691921151,0.6169836506606077,0.006731347691921163,0.6121428571428572,0.007076477274198308,0.6097950104625443,0.006376911659975065,0.6102825464291021,0.007084976733780377,0.6205555555555555,0.0028894502768682996,0.6186410087693706,0.0024781862734116968,0.6186162552883449,0.0023623864280140996,1.0127269451476668,0.011951166341240155,1.0200704276561736,0.004520803564710941,1.007149287907,0.006172481613191611,1389.489378452301,,8.101350545883179,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"92, 98, 94, 98, 97","99, 99, 99, 99, 99",0.7919857142857143,,0.7919857142857143,,0.7940598752601759,,0.7940598752601759,,0.7919857142857143,,0.7919857142857143,,0.7919857142857143,,0.7919857142857143,0.0062164035799960465,0.7901540260058171,0.00631157178735862,0.790154026005817,0.006311571787358655,0.7890000000000001,0.006385370716228886,0.7868601479536756,0.0070927353269984415,0.7870924184133198,0.006366103111613327,0.7942420634920635,0.0031532865672753044,0.7925113269656474,0.004759158585880099,0.7924009739245462,0.004700230214093709,0.5466417586558485,0.015533843558510226,0.5564645044505596,0.013069402631125958,0.5380592181144028,0.005733925691184252,1390.409695959091,,8.04436731338501,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"99, 97, 95, 97, 91","99, 99, 99, 99, 99",0.8187142857142856,,0.8187142857142856,,0.8177786903862987,,0.8177786903862987,,0.8187142857142856,,0.8187142857142857,,0.8187142857142856,,0.8187142857142856,0.006517323852938556,0.8168217965499436,0.006155710778967812,0.8168217965499436,0.0061557107789678165,0.8158571428571427,0.0039340870372078065,0.8132909687253399,0.004756347482272195,0.8140281157391985,0.004152663646073087,0.8220357142857143,0.000988374092098205,0.8203501669334798,0.0014795063544070868,0.8201709864711297,0.0016393076392515373,0.4849020223503243,0.016155978925727045,0.4966635324060917,0.009454010399645413,0.47364552357626444,0.0013226738111264498,1412.6724595546723,,8.106212139129639,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid num_pixels std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"98, 90, 92, 98, 94","99, 99, 99, 99, 99",0.8254285714285714,,0.8254285714285714,,0.8247825827039781,,0.8247825827039781,,0.8254285714285714,,0.8254285714285714,,0.8254285714285714,,0.8254285714285714,0.006398820044288135,0.8239694148230935,0.006722135941025324,0.8239694148230935,0.006722135941025378,0.8208214285714286,0.0028044243470571953,0.8193047285302871,0.004111173604184668,0.8188760449612209,0.003595458700775253,0.8282301587301586,0.0023567353076138346,0.8268490388486454,0.0033374880688024485,0.8268210873639024,0.0032619698326045526,0.46887185067346654,0.015642378150202123,0.4813994776457548,0.009410990021530523,0.4595299365670245,0.004136609091178945,1429.9574456214905,,8.317116975784302,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"96, 99, 91, 96, 45","99, 99, 99, 99, 56",0.8235428571428571,,0.8235428571428571,,0.8211981100245431,,0.8211981100245431,,0.8235428571428571,,0.8235428571428572,,0.8235428571428571,,0.8235428571428571,0.014897787810029138,0.820284607540301,0.01572629882936363,0.820284607540301,0.01572629882936362,0.8150714285714284,0.008110052970460396,0.8118557976524585,0.008972579723188332,0.8117063955507546,0.00891963582170973,0.8260674603174604,0.011223309650733638,0.8229351378022549,0.012035322311850115,0.8228631358228966,0.012052580028566613,0.4701736809456185,0.0387228556591354,0.49375049221244727,0.027064682539243913,0.4632269664539903,0.028594867663887004,1302.824642753601,,8.540327310562134,
GCN,3,-,,75,-,RAG,SLIC0,avg_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"60, 97, 30, 43, 40","66, 99, 36, 49, 43",0.5952571428571429,,0.5952571428571429,,0.5961287492104037,,0.5961287492104038,,0.5952571428571429,,0.5952571428571429,,0.5952571428571429,,0.5952571428571429,0.019055536449750103,0.586230322603897,0.02266989238793114,0.586230322603897,0.02266989238793114,0.5995714285714285,0.02111061731132719,0.590662788064488,0.024843502493509962,0.5906627880644878,0.02484350249350994,0.5963055555555556,0.021640677185455617,0.5873368635484881,0.024257833732445555,0.5873368635484881,0.02425783373244556,1.0600632775319767,0.04481680605034319,1.0505851476029915,0.04899252455945365,1.0554272450468867,0.05055352933944425,743.9704859256744,,8.126303672790527,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"59, 50, 45, 18, 39","61, 56, 51, 24, 45",0.7698857142857143,,0.7698857142857143,,0.7683941092411299,,0.7683941092411299,,0.7698857142857143,,0.7698857142857143,,0.7698857142857143,,0.7698857142857143,0.005873774296804086,0.7659682606467039,0.005672113627739616,0.765968260646704,0.005672113627739622,0.76875,0.007974768885397885,0.7644015052138787,0.009530928509820857,0.7644015052138786,0.009530928509820857,0.7737777777777778,0.009047502435895695,0.7697427045049215,0.010664636287560224,0.7697427045049215,0.010664636287560227,0.6058455675432126,0.018228406296482928,0.6103932071815837,0.021584520363489096,0.5944264271386384,0.024821972821881134,611.9097776412964,,8.120380878448486,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"52, 65, 71, 38, 61","58, 71, 77, 44, 67",0.7975714285714285,,0.7975714285714285,,0.7962551597762718,,0.7962551597762717,,0.7975714285714285,,0.7975714285714286,,0.7975714285714285,,0.7975714285714286,0.008652238120266649,0.7950388017060734,0.008772290033158192,0.7950388017060737,0.008772290033158246,0.7963571428571429,0.008676881081709154,0.7937318906292317,0.008715494044050223,0.7937318906292317,0.008715494044050287,0.8023650793650795,0.009472110006583555,0.7997800421841392,0.009789506771827081,0.7997800421841392,0.009789506771827137,0.5386758175478679,0.02522988528015805,0.5434258123351768,0.025728385725351886,0.5225918608495427,0.025910271703816982,800.392707490921,,8.339242935180664,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid num_pixels std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"41, 44, 46, 36, 47","43, 50, 52, 42, 53",0.7958000000000001,,0.7958000000000001,,0.7957321894217828,,0.7957321894217828,,0.7958000000000001,,0.7958000000000001,,0.7958000000000001,,0.7958,0.006992620016408522,0.7930112473016571,0.008700536945294818,0.7930112473016573,0.00870053694529478,0.7964285714285714,0.010498420678116023,0.793467709647097,0.012278859511558209,0.793467709647097,0.012278859511558195,0.8028412698412698,0.00823212731503925,0.8000975024611318,0.010484968595340968,0.8000975024611318,0.010484968595341034,0.5410379443130536,0.01759678497701647,0.547909892079505,0.019075831559752173,0.5227811295104209,0.02022958615883509,625.0190972328186,,8.21626329421997,
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"38, 54, 59, 53, 34","44, 60, 65, 59, 40",0.8017857142857142,,0.8017857142857142,,0.79942037001782,,0.79942037001782,,0.8017857142857142,,0.8017857142857142,,0.8017857142857142,,0.8017857142857142,0.00813445681991746,0.7986832671440277,0.008828842370982484,0.7986832671440278,0.008828842370982498,0.8005357142857144,0.0075988385256416805,0.797309317726214,0.0077522345746169775,0.797309317726214,0.007752234574616961,0.8074087301587302,0.005948736979841077,0.8042127045620177,0.007493602757266803,0.8042127045620177,0.007493602757266767,0.5276709464587033,0.016711329148406246,0.5315626525743442,0.022114718050339044,0.5118443462071081,0.01499350340356342,688.1079379081726,,7.945553779602051,
