model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,388.5078,11.74999031886126,"91, 98, 95, 94, 99","99, 99, 99, 99, 99",0.8179285714285716,,0.8179285714285716,,0.8179324141965226,,0.8179324141965226,,0.8179285714285716,,0.8179285714285713,,0.8179285714285716,,0.8179285714285716,0.004368252814691637,0.8153868162192837,0.004737118579868111,0.8153868162192837,0.004737118579868062,0.8169285714285716,0.004622758695755578,0.814226855740789,0.005271186808049551,0.814226855740789,0.005271186808049644,0.8272103174603176,0.0017395080146498827,0.8249103354606042,0.0016917155058206407,0.8249103354606042,0.001691715505820675,0.48443917856641006,0.006325798540894109,0.48840699846094304,0.008877597586312758,0.45768718469490854,0.0031414929932491982,1258.326234292984,,12.601333618164062,
GCN,3,-,,75,-,1NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,156.24393333333333,3.826760578986996,"92, 97, 95, 99, 93","99, 99, 99, 99, 99",0.8187571428571427,,0.8187571428571427,,0.8168545161554983,,0.8168545161554984,,0.8187571428571427,,0.8187571428571427,,0.8187571428571427,,0.8187571428571427,0.0020813064970575204,0.8169779531903296,0.002489251063191678,0.8169779531903296,0.0024892510631914964,0.8160714285714287,0.002617152994365847,0.8143427823430853,0.0019759195469762135,0.8143427823430853,0.001975919546976253,0.8342698412698413,0.0030255796177228018,0.8327028001398119,0.0029318678278523747,0.8327028001398119,0.002931867827852415,0.4910746467576179,0.0044091702223999765,0.49553194848651233,0.0055873996612534555,0.44766028275344577,0.005531725391567545,1209.1117467403412,,10.698798179626465,
GCN,3,-,,75,-,2NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,312.48786666666666,7.653521157973992,"92, 98, 93, 99, 85","99, 99, 99, 99, 99",0.8163,,0.8163,,0.8138967112771252,,0.8138967112771252,,0.8163,,0.8163000000000002,,0.8163,,0.8163,0.002495874146486964,0.8140679661100956,0.0030914011402386407,0.8140679661100958,0.003091401140238651,0.8160000000000001,0.0020781909322823144,0.8133065566539429,0.002213856728959192,0.8133065566539429,0.0022138567289591293,0.8292301587301587,0.0024275986224675835,0.8271739666037874,0.0033026844269120844,0.8271739666037876,0.0033026844269121508,0.49681501349085544,0.007055533271750835,0.49631947895342654,0.008973557996534215,0.4599831725399809,0.005500295135380189,1239.8257808685303,,12.09926700592041,
GCN,3,-,,75,-,4NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,624.9757333333333,15.307042315947983,"94, 83, 99, 99, 87","99, 99, 99, 99, 99",0.816857142857143,,0.816857142857143,,0.8165362843389566,,0.8165362843389566,,0.816857142857143,,0.816857142857143,,0.816857142857143,,0.816857142857143,0.0037809943622474627,0.8148167640043169,0.0038128714285240086,0.8148167640043169,0.003812871428523989,0.8173214285714285,0.00421065218662556,0.8154776647016299,0.00357442259855046,0.8154776647016299,0.003574422598550255,0.8262738095238096,0.001250749334482046,0.8245152778680245,0.0010194601130934138,0.8245152778680247,0.0010194601130934287,0.4934627720074022,0.005375227333059393,0.49567198123444206,0.010768332777982257,0.4652049419351944,0.00694442194659169,1302.9007966041565,,14.647597074508667,
GCN,3,-,,75,-,8NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,1249.9514666666666,30.614084631895967,"93, 78, 99, 97, 92","99, 99, 99, 99, 99",0.7970428571428572,,0.7970428571428572,,0.7950288793192138,,0.7950288793192138,,0.7970428571428572,,0.7970428571428572,,0.7970428571428572,,0.7970428571428572,0.004164377602514729,0.7946390210253723,0.004817108905438501,0.7946390210253721,0.0048171089054385675,0.7965714285714285,0.0064823150311648465,0.7938230483080911,0.007489538409605872,0.7938230483080911,0.007489538409605937,0.804063492063492,0.0016237094415929118,0.8015489544770175,0.0028755120097524213,0.8015489544770176,0.002875512009752434,0.5367059436835111,0.00727141062173018,0.5392102887684649,0.011027005224763225,0.5182994101858381,0.006359820386228678,1782.5236092090606,,9.14138126373291,
GCN,3,-,,75,-,16NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,2499.9029333333333,61.22816926379193,"93, 98, 99, 99, 91","99, 99, 99, 99, 99",0.7602857142857143,,0.7602857142857143,,0.758134058862856,,0.7581340588628561,,0.7602857142857143,,0.7602857142857143,,0.7602857142857143,,0.7602857142857143,0.005042675027063693,0.7565040929841956,0.00639426826315037,0.7565040929841956,0.006394268263150362,0.7633928571428571,0.004803538236741417,0.759773726918304,0.005952036014329743,0.7597737269183041,0.005952036014329763,0.7661468253968254,0.0040018301746560575,0.7627332991990194,0.0035446117073955666,0.7627332991990196,0.003544611707395693,0.6271357945655579,0.0081520972945209,0.6274144887246869,0.01048967941133942,0.6121669588657805,0.010014176782291686,1976.5286000728606,,9.597409725189209,
GCN,3,-,,75,-,1NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,156.24393333333333,3.826760578986996,"96, 95, 96, 99, 96","99, 99, 99, 99, 99",0.8377285714285714,,0.8377285714285714,,0.8394890190869623,,0.8394890190869623,,0.8377285714285714,,0.8377285714285716,,0.8377285714285714,,0.8377285714285714,0.0057892229220178155,0.8372693529165044,0.004647349402912466,0.8372693529165044,0.004647349402912476,0.8357857142857142,0.007532751618019469,0.8347137510882578,0.007052685496224389,0.8347137510882577,0.007052685496224408,0.8511587301587301,0.004158885402409565,0.8507897684220038,0.0033193461863342214,0.8507897684220038,0.0033193461863342544,0.4461671387496059,0.01193071880776346,0.45144454064694317,0.015985963738627103,0.4041005365285777,0.01027648460175563,1496.4970925807952,,8.47331976890564,
GCN,3,-,,75,-,2NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,312.48786666666666,7.653521157973992,"95, 95, 99, 99, 89","99, 99, 99, 99, 99",0.8349428571428572,,0.8349428571428572,,0.8365392894270869,,0.8365392894270869,,0.8349428571428572,,0.8349428571428572,,0.8349428571428572,,0.8349428571428572,0.004053066362493383,0.8339797910735169,0.0030998859379666533,0.8339797910735168,0.0030998859379666862,0.8348928571428571,0.0038058762299306506,0.8336157537361368,0.0023193105936940334,0.8336157537361369,0.0023193105936939263,0.847015873015873,0.0024766991744468105,0.8460188289748185,0.002046198119048623,0.8460188289748183,0.002046198119048648,0.448983553922884,0.0035474853769827115,0.4500575222752311,0.007709276689429831,0.41411680797786277,0.006224273004689405,1854.8999719142914,,12.122131109237671,
GCN,3,-,,75,-,4NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,624.9757333333333,15.307042315947983,"95, 90, 99, 94, 85","99, 99, 99, 99, 99",0.8298142857142856,,0.8298142857142856,,0.8298890211295398,,0.8298890211295399,,0.8298142857142856,,0.8298142857142856,,0.8298142857142856,,0.8298142857142856,0.002526835562355344,0.828024252909009,0.0013985804662717094,0.828024252909009,0.0013985804662717605,0.829,0.0059661032303423645,0.8270170401101844,0.00547260854563257,0.8270170401101844,0.0054726085456326444,0.8399206349206351,0.0025789071632601334,0.8381861610942785,0.0023708243715866908,0.8381861610942785,0.002370824371586688,0.463084882552221,0.006237237797671977,0.4620854423804716,0.014094754325990642,0.43485851446686663,0.004891793910890743,1526.783323955536,,14.449881792068481,
GCN,3,-,,75,-,8NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,78.12196666666667,1.913380289493498,1249.9514666666666,30.614084631895967,"91, 95, 99, 97, 99","99, 99, 99, 99, 99",0.8155285714285714,,0.8155285714285714,,0.8149580460494859,,0.8149580460494859,,0.8155285714285714,,0.8155285714285714,,0.8155285714285714,,0.8155285714285714,0.0032041427265721272,0.8139323906840955,0.0032338279560302696,0.8139323906840957,0.0032338279560302596,0.8141071428571429,0.004696123021021868,0.8124756151209503,0.004673912647487092,0.8124756151209505,0.004673912647486982,0.8242142857142858,0.0020152558110262462,0.8226165547907748,0.0015937358527235667,0.8226165547907748,0.0015937358527235205,0.49487313837765556,0.006382621918053059,0.5000568725846031,0.007585439915626607,0.47032138648901495,0.0032632624760454013,1600.2470160961152,,20.538365840911865,
