model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.8656,0.5857786612706202,393.2852,5.998554905975271,"93, 93, 93, 98, 91","99, 99, 99, 99, 99",0.4531538461538462,,0.4531538461538462,,0.45806769459910174,,0.45806769459910174,,0.4531538461538462,,0.4531538461538462,,0.4531538461538462,,0.4531538461538462,0.015294737463678166,0.44379234387956473,0.01532105950449171,0.44379234387956484,0.0153210595044917,0.449423076923077,0.011239722458617273,0.4422778607677399,0.012235054517906924,0.44227786076773984,0.012235054517906921,0.48126068376068376,0.005156882069931042,0.4742256495588615,0.005574331504062727,0.4742256495588615,0.00557433150406266,1.4990269556278135,0.024723769858632293,1.4911273984348072,0.02339495523905763,1.4214896836248383,0.010939684893888099,237.78312339782715,,3.5607264041900635,
GCN,3,-,,75,-,1NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,152.8672,3.569420703699692,"91, 98, 78, 81, 93","99, 99, 99, 99, 99",0.4581538461538462,,0.4581538461538462,,0.4630352114374373,,0.46303521143743726,,0.4581538461538462,,0.4581538461538462,,0.4581538461538462,,0.4581538461538462,0.011593203477206165,0.4514366436241272,0.013676984141083913,0.45143664362412717,0.013676984141083932,0.4625,0.010929440183371412,0.4552840451121454,0.011677795325484783,0.45528404511214526,0.01167779532548478,0.49989316239316234,0.009516586440972103,0.4938111144655434,0.01177663335514684,0.49381111446554327,0.011776633355146863,1.4675265027255548,0.03227743184000137,1.442224676468793,0.032535954270890025,1.3521399035745738,0.025678459112301284,226.11307077407838,,2.442631244659424,
GCN,3,-,,75,-,2NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,305.7344,7.138841407399384,"91, 95, 93, 87, 90","99, 99, 99, 99, 99",0.45853846153846145,,0.45853846153846145,,0.4663849107768521,,0.466384910776852,,0.45853846153846145,,0.45853846153846145,,0.45853846153846145,,0.45853846153846145,0.010177129482179224,0.4492756892179511,0.013513839124709773,0.4492756892179511,0.013513839124709742,0.46038461538461534,0.011735497155686432,0.45113142801533057,0.012025751492750673,0.45113142801533057,0.012025751492750682,0.4954700854700855,0.008927073228298598,0.4870612100352913,0.012043436389073504,0.4870612100352913,0.012043436389073495,1.4601530953151423,0.024999097545641454,1.4416835392222684,0.030632456868673993,1.360280755101418,0.019195093014476874,232.5837890625,,2.6344258785247803,
GCN,3,-,,75,-,4NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,611.4688,14.277682814798768,"93, 93, 93, 81, 85","99, 99, 99, 99, 99",0.4447692307692308,,0.4447692307692308,,0.45117991044932204,,0.45117991044932193,,0.4447692307692308,,0.4447692307692308,,0.4447692307692308,,0.4447692307692308,0.01510828762731189,0.4318126913107673,0.016604670717462678,0.4318126913107673,0.016604670717462678,0.4457692307692308,0.013619947084327504,0.43340446092278756,0.01654561458235087,0.43340446092278756,0.016545614582350876,0.472008547008547,0.01016990765426376,0.46036232886375605,0.012254031537234398,0.46036232886375605,0.012254031537234393,1.5108359034468486,0.04128937846128013,1.5035839571672327,0.027478346026129065,1.4367860414543931,0.033219181082764976,242.99027714729309,,3.0184407234191895,
GCN,3,-,,75,-,8NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,1222.9376,28.555365629597535,"93, 98, 89, 84, 97","99, 99, 99, 99, 99",0.4243846153846153,,0.4243846153846153,,0.42393659753416557,,0.42393659753416557,,0.4243846153846153,,0.42438461538461547,,0.4243846153846153,,0.4243846153846153,0.011578392444447224,0.41200123943091516,0.01557491222266237,0.41200123943091516,0.015574912222662341,0.42326923076923084,0.01296330734334824,0.41149597032923674,0.015137205088462965,0.4114959703292368,0.015137205088462936,0.44416666666666665,0.00931035648967264,0.43320396204796074,0.011931457961584763,0.43320396204796074,0.011931457961584752,1.5552882834178647,0.023842164297125507,1.5483718829996445,0.03278934937220479,1.5012180878191579,0.01554916869585,262.4766174793243,,4.135761260986328,
GCN,3,-,,75,-,16NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,2445.8752,57.11073125919507,"91, 95, 99, 95, 95","99, 99, 99, 99, 99",0.37876923076923075,,0.37876923076923075,,0.39309544329032237,,0.39309544329032237,,0.37876923076923075,,0.37876923076923075,,0.37876923076923075,,0.37876923076923075,0.011544613744464373,0.36710968347466555,0.020538365456279694,0.36710968347466555,0.020538365456279684,0.38403846153846155,0.019522782928016128,0.37220890708586296,0.021657180482968393,0.37220890708586307,0.021657180482968403,0.396517094017094,0.008789976044691086,0.3845815838228382,0.01591968906155933,0.38458158382283825,0.0159196890615593,1.6477225071046409,0.03151281878404074,1.6453443246729236,0.04128874595663472,1.6135617919519647,0.01407974455825487,309.70544877052305,,5.673587322235107,
GCN,3,-,,75,-,1NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,152.8672,3.569420703699692,"97, 87, 89, 85, 98","99, 99, 99, 99, 99",0.4683076923076923,,0.4683076923076923,,0.4760271512642908,,0.4760271512642908,,0.4683076923076923,,0.4683076923076923,,0.4683076923076923,,0.4683076923076923,0.014671148678624173,0.4621409181841032,0.014637212914623329,0.4621409181841032,0.014637212914623337,0.4703846153846154,0.01165644804668596,0.4645332899898523,0.014239137004526618,0.4645332899898523,0.014239137004526595,0.5213034188034189,0.01097167605727952,0.5161154736434772,0.010817051311316092,0.5161154736434773,0.010817051311316052,1.4411438918695216,0.034435402265299904,1.4244874589583454,0.007248189957652588,1.296045077658024,0.027684341082327223,224.97066621780397,,2.7143025398254395,
GCN,3,-,,75,-,2NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,305.7344,7.138841407399384,"97, 93, 89, 82, 97","99, 99, 99, 99, 99",0.473,,0.473,,0.47814227038961865,,0.47814227038961876,,0.473,,0.473,,0.473,,0.473,0.0156314809044528,0.46828081955546097,0.014932722224207648,0.468280819555461,0.014932722224207658,0.47423076923076923,0.017587482100267185,0.4697243126825309,0.013698514534681325,0.4697243126825309,0.013698514534681318,0.5272649572649574,0.011198986823191813,0.5235812953856096,0.012134989627974699,0.5235812953856097,0.01213498962797474,1.4238600823937393,0.023660193189288036,1.4082278854706707,0.01988467298122168,1.2855883586163424,0.02753030053426697,228.51188201904296,,3.063711166381836,
GCN,3,-,,75,-,4NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,611.4688,14.277682814798768,"84, 90, 89, 94, 97","99, 99, 99, 99, 99",0.4632307692307693,,0.4632307692307693,,0.4680496507596975,,0.4680496507596975,,0.4632307692307693,,0.4632307692307693,,0.4632307692307693,,0.4632307692307693,0.018316093741320198,0.45680095836401086,0.01736278458932439,0.45680095836401086,0.01736278458932439,0.4659615384615384,0.014903535976921201,0.46070710163575584,0.013819975698861607,0.46070710163575584,0.0138199756988616,0.5066239316239316,0.010603975591339972,0.5008684093736808,0.009849873324469613,0.5008684093736808,0.00984987332446959,1.446004220334495,0.03468661893599524,1.4210856297436885,0.024456940634203776,1.334390429574616,0.027093030001176202,240.520001745224,,3.598879098892212,
GCN,3,-,,75,-,8NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,1222.9376,28.555365629597535,"91, 98, 89, 93, 98","99, 99, 99, 99, 99",0.4509230769230769,,0.4509230769230769,,0.4552176437821595,,0.4552176437821596,,0.4509230769230769,,0.4509230769230769,,0.4509230769230769,,0.4509230769230769,0.013998309280834368,0.44198592489005273,0.017027893598264062,0.4419859248900527,0.01702789359826408,0.4513461538461538,0.009274735039836538,0.44260478810567916,0.011665635424087425,0.44260478810567916,0.01166563542408748,0.48732905982905983,0.006096524939199624,0.47977116860045327,0.00831220393840025,0.47977116860045327,0.008312203938400283,1.4857718415376617,0.030655111016993076,1.469057523503023,0.02314989127185706,1.3905566835079062,0.01013173965081107,260.86464939117434,,4.85420298576355,
GCN,3,-,,75,-,16NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,76.4336,1.784710351849846,2445.8752,57.11073125919507,"91, 99, 86, 78, 98","99, 99, 99, 99, 99",0.4116923076923077,,0.4116923076923077,,0.4167537709523912,,0.4167537709523913,,0.4116923076923077,,0.4116923076923077,,0.4116923076923077,,0.4116923076923077,0.02247233670893535,0.4000955464795958,0.02666794188264469,0.4000955464795958,0.026667941882644708,0.4088461538461538,0.016835437406337927,0.3960936737035402,0.018038812670168932,0.3960936737035402,0.018038812670168946,0.4351282051282051,0.012826992664447591,0.4238284524971193,0.015653248376392523,0.4238284524971193,0.015653248376392512,1.5872467733011013,0.03283356462917318,1.5716709459529203,0.016753381480578002,1.5229868734774947,0.026314539775285892,308.69776768684386,,7.528757572174072,
