index,mode,height,width,class,path
0,RGB,1032,919,reference map,/000/sha1-00091abcd9095ffecb0ea279546207ea3c09afde.jpg
1,RGB,813,1535,geology sketch,/000/sha1-000e1d58a1e35407279b29d3ffc77d8a59ad9904.jpg
2,RGB,225,225,photomicrograph,/001/sha1-00117c92f0f2d38bc3b4a56e9f8762a99239ac3c.jpg
3,RGB,1040,1388,photomicrograph,/001/sha1-00181ad874f290ce28bf81098d0e8f85d0c3aa70.jpg
4,RGB,473,346,profile,/001/sha1-00185f340c78a44d88d486afab48db9cf7c928ad.jpg
5,RGB,1040,1388,photomicrograph,/001/sha1-001ab79f79166fba5b87a25e4c8d20a01b114cf4.jpg
6,RGB,387,307,plant and project sketch,/001/sha1-001bba4930aeae7b1b9a1a4731205736246ae8fd.jpg
7,RGB,2502,1769,geological map,/001/sha1-001d8b19d851933f67c2707e9b4425aedd19c3e4.jpg
8,RGB,425,720,table,/001/sha1-001ea1b3554340e51e72b10f351e19be9bdd1bfc.jpg
9,RGB,824,1275,outcrop photograph,/001/sha1-001f53c5b522dd2e9293fee5b78960bf43c7f680.jpg
10,RGB,208,260,hand sample photograph,/002/sha1-0020ddee90c258b282730cb5cb6d3dcd70e2840a.jpg
11,RGB,1663,1285,geological map,/002/sha1-00211178530839c48650658dc8ef4a5293622330.jpg
12,RGB,476,655,geology sketch,/002/sha1-00218a8172eda8161c4019bb752c9d5423708c16.png
13,RGB,375,500,outcrop photograph,/002/sha1-002ca27cb358422e65306f1679c0676197ff4f67.jpg
14,RGB,1040,1388,photomicrograph,/003/sha1-0034adec6f3a3f2f3037fb5644d122c7fbbd1a1c.jpg
15,RGB,1040,1388,photomicrograph,/003/sha1-003523a2efeb3090785e242045d5727d5448a071.jpg
16,RGB,636,980,bar chart,/003/sha1-00365098d83bc871fe1403ab958e24dd90d8fe95.jpg
17,RGB,960,1253,outcrop photograph,/003/sha1-00367405adf2dfb67aad24c8c886822407cb3dab.jpg
18,RGB,1168,1617,reference map,/003/sha1-003d92232cc97778751c501caa0c0d444269ecbe.png
19,RGB,426,624,oil ship photograph,/004/sha1-004217029560a6243374d604a9c627ca89871742.jpg
20,RGB,470,946,photomicrograph,/004/sha1-004609eb9e50542aba4783e1df1c624ca642c2a6.png
